name,model,varian,vehicleModelDate,avg_price
Toyota,Harrier,2.0 suv AT,2014,358137932
Honda,Civic,1.5 es sedan AT,2016,286478689
Toyota,Fortuner,2.4 vrz trd 4x2 suv Diesel AT,2021,368222223
Honda,HR-V,1.5 turbo rs suv AT,2022,306773007
Honda,Brio,1.2 satya e hatchback AT,2019,300632381
Honda,City,1.5 es sedan AT,2016,170500000
Toyota,Fortuner,2.4 vrz 4x2 suv Diesel AT,2018,355851352
Honda,HR-V,1.5 e suv AT,2018,283387500
Nissan,Serena,2.0 x mpv AT,2017,262250000
Toyota,Kijang Innova,2.0 g mpv AT,2017,284400000
Honda,HR-V,1.5 e suv AT,2017,312552632
Toyota,Fortuner,2.4 vrz 4x2 suv Diesel AT,2017,259081396
Mazda,CX-5,2.5 grand touring suv AT,2016,413796875
Honda,Jazz,1.5 rs hatchback AT,2016,309288136
Toyota,Yaris,1.5 g hatchback AT,2015,393090910
Toyota,Avanza,1.5 veloz mpv AT,2015,629384616
Nissan,Serena,2.0 highway star mpv AT,2015,226651740
Suzuki,Ertiga,1.4 gl mpv AT,2015,337625000
Mitsubishi,Outlander Sport,2.0 px suv AT,2014,320870968
Toyota,Vellfire,2.4 zg mpv AT,2013,259821429
Toyota,Avanza,1.3 g mpv AT,2017,340324490
Nissan,Serena,2.0 x mpv AT,2013,230333334
Nissan,Grand Livina,1.5 xv mpv AT,2013,341285715
Honda,Freed,1.5 e mpv AT,2012,235208334
Toyota,Harrier,2.4 240g suv AT,2010,311040001
Toyota,Harrier,2.4 240g suv AT,2007,189857143
Mercedes-Benz,SLK250,1.8 amg convertible AT,2012,1220800000
Hyundai,Palisade,2.2 signature suv Diesel AT,2022,401869048
Mercedes-Benz,S450L,3.0 sedan AT,2018,663425532
Mercedes-Benz,S450L,3.0 sedan AT,2019,681200000
BMW,X5,3.0 xdrive35i xline suv AT,2015,399500000
Volkswagen,Tiguan,1.4 tsi allspace suv AT,2019,757500000
Mitsubishi,Pajero Sport,2.4 dakar 4x2 suv Diesel AT,2022,336891510
Toyota,Voxy,2.0 mpv AT,2022,392708334
MINI,Countryman,1.5 cooper suv AT,2020,248166667
Toyota,Kijang Innova,2.4 v mpv Diesel AT,2019,454500000
Toyota,Fortuner,2.4 vrz trd 4x2 suv Diesel AT,2020,396627500
Toyota,Kijang Innova Zenix,2.0 v hv modellista (premium color) mpv AT,2023,321244616
Toyota,Raize,1.0 gr sport (2 tone) suv AT,2021,298195403
Daihatsu,Xenia,1.3 r mpv AT,2023,334615790
Mitsubishi,Xpander Cross,1.5 mpv AT,2021,373086957
